Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
3:2	ysar		rc://*/ta/man/translate/figs-parallelism	יִגְעַ֨ר יְהוָ֤ה בְּ⁠ךָ֙ הַ⁠שָּׂטָ֔ן וְ⁠יִגְעַ֤ר יְהוָה֙ בְּ⁠ךָ֔ הַ⁠בֹּחֵ֖ר בִּ⁠ירֽוּשָׁלִָ֑ם	1	These two phrases **May Yahweh rebuke you, the adversary** and **may Yahweh who is choosing Jerusalem rebuke you** mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. If it would be helpful to your readers, you could combine them and express the emphasis in another way. Alternate translation: [Certainly, may Yahweh rebuke you, the adversary]
3:2	d4t2		rc://*/ta/man/translate/figs-metaphor	א֖וּד מֻצָּ֥ל מֵ⁠אֵֽשׁ	1	Yahweh is speaking as if Joshua were **a firebrand rescued from the fire**. He means that Joshua has been barely saved from destruction. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [one who has been barely saved from destruction]
3:2	o55m		rc://*/ta/man/translate/figs-activepassive	א֖וּד מֻצָּ֥ל מֵ⁠אֵֽשׁ	1	The expression **rescued** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: [a firebrand that God rescued from the fire]
3:2	p2h4		rc://*/ta/man/translate/figs-imperative3p	יִגְעַ֨ר יְהוָ֤ה בְּ⁠ךָ֙ הַ⁠שָּׂטָ֔ן וְ⁠יִגְעַ֤ר יְהוָה֙ בְּ⁠ךָ֔ הַ⁠בֹּחֵ֖ר בִּ⁠ירֽוּשָׁלִָ֑ם	1	Yahweh is expressing what he desires to happen to the adversary. See the discussion in the introduction to this book about this form of speech and follow the decision of your team of how a speaker will express in this context what he wants someone to do. Alternate translation: [I rebuke you, the adversary, and I, Yahweh who is choosing Jerusalem, rebuke you]
3:2	c2rm		rc://*/ta/man/translate/figs-rquestion	הֲ⁠ל֧וֹא זֶ֦ה א֖וּד מֻצָּ֥ל מֵ⁠אֵֽשׁ	1	Yahweh is using the question form to emphasize that Joshua has indeed been rescued from destruction. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [Surely this is a firebrand rescued from the fire!]
3:3	yrzd		rc://*/ta/man/translate/figs-metaphor	הָיָ֥ה לָבֻ֖שׁ בְּגָדִ֣ים צוֹאִ֑ים	1	Zechariah is speaking as if Joshua’s sinfulness were **filthy garments** that he was wearing. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [filthy clothes signifying sin and guilt] or [was deeply sinful]
3:3	tt2a		rc://*/ta/man/translate/figs-metonymy	וְ⁠עֹמֵ֖ד לִ⁠פְנֵ֥י הַ⁠מַּלְאָֽךְ	1	Here, **to the face of** represents “in the presence of.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [standing in the presence of the angel]
3:3	qglz		rc://*/ta/man/translate/writing-background	וִ⁠יהוֹשֻׁ֕עַ הָיָ֥ה לָבֻ֖שׁ בְּגָדִ֣ים צוֹאִ֑ים וְ⁠עֹמֵ֖ד לִ⁠פְנֵ֥י הַ⁠מַּלְאָֽךְ	1	Zechariah is providing background information to help readers understand what happens next in the story. In your translation, introduce this information in a way that would be natural in your own language and culture.
3:4	ww6m		rc://*/ta/man/translate/writing-pronouns	וַ⁠יַּ֣עַן וַ⁠יֹּ֗אמֶר	1	The pronoun **he** refers to the angel of Yahweh. It may be helpful to clarify this for your readers. Alternate translation: [And the angel of Yahweh answered and said]
3:4	nves		rc://*/ta/man/translate/writing-pronouns	וַ⁠יֹּ֣אמֶר אֵלָ֗י⁠ו	1	The pronoun **he** refers to the angel of Yahweh, and **him** refers to Joshua. It may be helpful to clarify this for your readers. Alternate translation: [And the angel of Yahweh said to Joshua]
3:4	soz2		rc://*/ta/man/translate/figs-metonymy	הָ⁠עֹמְדִ֤ים לְ⁠פָנָי⁠ו֙	1	Here, **to the face of** represents “in the presence of.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [those who stood before him]
3:4	yfct		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹ֔ר	1	The term **saying** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
3:4	p0mg		rc://*/ta/man/translate/figs-metaphor	הָסִ֛ירוּ הַ⁠בְּגָדִ֥ים הַ⁠צֹּאִ֖ים מֵ⁠עָלָ֑י⁠ו	1	The angel of Yahweh is speaking as if Joshua’s sin were **filthy garments** that could be removed. He means that God is taking away Joshua’s sin. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Take away Joshua’s sin from him]
3:4	n4qn		rc://*/ta/man/translate/figs-metaphor	רְאֵ֨ה	1	The angel of Yahweh is using the term **See** as an expression to focus Joshua’s attention on what he is about to say. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Pay attention!]
3:4	s88b		rc://*/ta/man/translate/figs-abstractnouns	עֲוֺנֶ֔⁠ךָ	1	If your language does not use an abstract noun for the idea of **iniquity**, you could express the same idea in another way. Alternate translation: [the wrong things you have done]
3:4	npcr		rc://*/ta/man/translate/figs-metaphor	וְ⁠הַלְבֵּ֥שׁ אֹתְ⁠ךָ֖ מַחֲלָצֽוֹת	1	The angel of Yahweh is speaking as if Joshua’s restored condition were **fine clothing** that he could put on. He means that God is restoring Joshua to a state of purity and honor. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and I will restore you to a state of purity and honor]
3:4	k9ti		rc://*/ta/man/translate/figs-metaphor	הֶעֱבַ֤רְתִּי מֵ⁠עָלֶ֨י⁠ךָ֙ עֲוֺנֶ֔⁠ךָ	1	The angel of Yahweh is speaking as if Joshua’s iniquity were a physical object that could be **caused to pass away from** him. He means that God has forgiven Joshua’s sin. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I have forgiven your sin] Alternate translation: [I have forgiven your sin]
3:5	ceb6		rc://*/ta/man/translate/writing-pronouns	וָ⁠אֹמַ֕ר	1	The pronoun **I** refers to Zechariah, who is interjecting into the vision. It may be helpful to clarify this for your readers. Alternate translation: [Then I, Zechariah, said]
3:5	ec6s		rc://*/ta/man/translate/translate-symaction	וַ⁠יָּשִׂימוּ֩ הַ⁠צָּנִ֨יף הַ⁠טָּה֜וֹר עַל־רֹאשׁ֗⁠וֹ וַ⁠יַּלְבִּשֻׁ֨⁠הוּ֙ בְּגָדִ֔ים	1	Setting a clean turban on Joshua’s head and clothing him with garments was a symbolic action by which the angels showed that Joshua was being restored to his priestly office. If it would be helpful to your readers, you could explain the significance of this action in the text of your translation or in a footnote. Alternate translation: [they set the clean turban on his head and clothed him with garments, showing that Joshua was being restored to his priestly office]
3:5	s1se		rc://*/ta/man/translate/writing-background	וּ⁠מַלְאַ֥ךְ יְהוָ֖ה עֹמֵֽד	1	Zechariah is providing background information to help readers understand what happens next in the story. In your translation, introduce this information in a way that would be natural in your own language and culture.
3:6	i2kk		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹֽר	1	The term **saying** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
3:7	vrk8		rc://*/ta/man/translate/writing-quotations	כֹּה־אָמַ֞ר יְהוָ֣ה צְבָא֗וֹת	1	The phrase **Thus says Yahweh of Armies** introduces a direct quotation from Yahweh. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this phrase in exactly this way.
3:7	j5al		rc://*/ta/man/translate/figs-metaphor	תָּדִ֣ין אֶת־בֵּיתִ֔⁠י	1	Yahweh is speaking of the temple of Yahweh as if it were a **house** in which he lived. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [will oversee my temple]
3:7	dbez		rc://*/ta/man/translate/figs-metaphor	וְ⁠נָתַתִּ֤י לְ⁠ךָ֙ מַהְלְכִ֔ים בֵּ֥ין הָ⁠עֹמְדִ֖ים הָ⁠אֵֽלֶּה	1	Yahweh is speaking as if the privilege of coming into his presence were physical **access** to walk among the angels. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and I will allow you to be near me like these angels who are standing here]
3:7	vj6a		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠נָתַתִּ֤י לְ⁠ךָ֙ מַהְלְכִ֔ים	1	If your language does not use an abstract noun for the idea of **access**, you could express the same idea in another way. Alternate translation: [and I will allow you to be]
3:7	aetr		rc://*/ta/man/translate/writing-poetry	מִשְׁמַרְתִּ֣⁠י תִשְׁמֹ֔ר	1	Yahweh is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this.
3:7	k423		rc://*/ta/man/translate/figs-quotesinquotes	כֹּה־אָמַ֞ר יְהוָ֣ה צְבָא֗וֹת אִם־בִּ⁠דְרָכַ֤⁠י תֵּלֵךְ֙	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Here the angel is quoting Yahweh of Armies, whose words form a second level of quotation within the angel’s speech. Alternate translation: [Yahweh of Armies has said: “If you will walk in my ways] or [Yahweh of Armies says that if you will walk in his ways]
3:7	c2zd		rc://*/ta/man/translate/figs-metaphor	בִּ⁠דְרָכַ֤⁠י תֵּלֵךְ֙	1	Yahweh is speaking as if obeying him were **walking** along a path. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [you obey my commands]
3:8	eyuj		rc://*/ta/man/translate/figs-metonymy	הַ⁠יֹּשְׁבִ֣ים לְ⁠פָנֶ֔י⁠ךָ	1	Here, **to the face of** represents “in the presence of.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [who are sitting in the presence of you]
3:8	nm06		rc://*/ta/man/translate/grammar-connect-logic-reason	כִּֽי־אַנְשֵׁ֥י מוֹפֵ֖ת הֵ֑מָּה כִּֽי־הִנְ⁠נִ֥י	1	Here, the word **for** introduces the reason why Joshua and his companions should listen. The first **for** explains that they are men of a sign, and the second **for** gives a further reason, that Yahweh is about to bring his servant, the Branch. Use a connector in your language that makes it clear that these are the reasons.
3:8	tz9i		rc://*/ta/man/translate/figs-idiom	אַנְשֵׁ֥י מוֹפֵ֖ת	1	Yahweh is using **men of a sign** as a common expression of the culture to mean “men whose lives serve as signs pointing to future events.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [men who are living signs pointing to what is to come]
3:8	nzyk		rc://*/ta/man/translate/figs-idiom	הִנְ⁠נִ֥י מֵבִ֛יא	1	Yahweh is using **behold, I am bringing** as a common expression of the culture to mean “pay attention, because I am about to bring.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [look, I am about to bring]
3:8	gmvq		rc://*/ta/man/translate/figs-metaphor	צֶֽמַח	1	Yahweh is speaking as if the future messianic king were a **Branch** growing from a family line. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [the king who will come from the family line of David]
3:9	c1wz		rc://*/ta/man/translate/figs-metaphor	הִנֵּ֣ה הָ⁠אֶ֗בֶן אֲשֶׁ֤ר נָתַ֨תִּי֙	1	Yahweh is using the term **behold** as an expression to focus his listeners’ attention on what he is about to say. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Pay attention to the stone that I have set]
3:9	ryhs		rc://*/ta/man/translate/figs-metonymy	לִ⁠פְנֵ֣י יְהוֹשֻׁ֔עַ	1	Here, **to the face of** represents “in front of.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [before Joshua]
3:9	ynoz		rc://*/ta/man/translate/figs-metonymy	שִׁבְעָ֣ה עֵינָ֑יִם	1	Here, **seven eyes** represents God’s complete and watchful awareness. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [are seven facets that represent God’s complete awareness of everything]
3:9	vk0m		rc://*/ta/man/translate/writing-quotations	נְאֻם֙ יְהוָ֣ה צְבָא֔וֹת	1	The expression **the declaration of Yahweh of Armies** is a prophetic attestation formula that affirms the authority of what is being said. In your translation, use a natural way of representing this kind of affirmation in your language. It may not be necessary to represent this expression in exactly this way.
3:9	amc2		rc://*/ta/man/translate/figs-metaphor	וּ⁠מַשְׁתִּ֛י אֶת־עֲוֺ֥ן הָ⁠אָֽרֶץ־הַ⁠הִ֖יא בְּ⁠י֥וֹם אֶחָֽד	1	Yahweh is speaking as if the iniquity of the land were a physical object that he could **remove**. He means that he will forgive the sin of the people. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I will forgive the sin of that land]
3:9	t6pm		rc://*/ta/man/translate/figs-abstractnouns	עֲוֺ֥ן	1	If your language does not use an abstract noun for the idea of **iniquity**, you could express the same idea in another way. See how you translated the similar expression in [3:4](../03/04.md). Alternate translation: [the wrong things that the people have done in]
3:9	u42c		rc://*/ta/man/translate/writing-poetry	מְפַתֵּ֣חַ פִּתֻּחָ֗⁠הּ	1	Yahweh is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this.
3:10	a4k7		rc://*/ta/man/translate/figs-gendernotations	אִ֣ישׁ לְ⁠רֵעֵ֑⁠הוּ	1	The masculine term **man** has a generic sense that includes both men and women. If it would be helpful to your readers, you could use language in your translation that is clearly inclusive of both men and women. Alternate translation: [each person to their neighbor]
3:10	wmxe		rc://*/ta/man/translate/figs-metaphor	אֶל־תַּ֥חַת גֶּ֖פֶן וְ⁠אֶל־תַּ֥חַת תְּאֵנָֽה	1	Yahweh is speaking as if the peace and prosperity of the future age were sitting **under** a **vine** and **fig tree**. This was a common image representing security and contentment. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [to enjoy calm prosperity together]
4:intro	hhnv				0	# Zechariah 4 Introduction\n\n## Structure and Formatting\n\nZechariah 4 is the fifth of eight night visions. The chapter moves from a prophetic vision (a golden lampstand with seven lamps and two olive trees) to an explanation, then to an oracle declaring that Zerubbabel will complete the temple “not by might and not by power, but by my Spirit,” and concludes with the identification of the two olive trees as those set apart to serve the Lord of all the earth.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Temple Furniture as Symbol\n\nThe lampstand echoes the tabernacle menorah (Exodus 25:31–40). Seven lamps and continuous olive oil flowing through golden pipes symbolized God’s provision for continuous worship and the Spirit’s empowering presence.\n\n### Anointing and Divine Empowering\n\n“Sons of the fresh oil” is an idiom for those set apart for special service. Olive oil consecrated kings and priests; here it represents the Spirit enabling Zerubbabel and his community to complete the rebuilding work.\n\n## Translation Issues in This Chapter\n\n### Quotations\n\nVerses 6–10 contain a series of quotes where it is difficult to discern who is speaking. The ULT suggests:\n- the angel speaks from 6–10\n- the angel quotes Yahweh in the middle of verse 6 and beginning of verse 9\n- the angel prophetically quotes the people’s reaction at the end of verse 7\n- the angel, not Zechariah, is the speaker who received the word of Yahweh in verse 8\n- the “me” at the end of verse 9 refers to the angel, this is probably the most contested point, scholars are divided as to if this is Zechariah, the angel speaking to him, or the Angel of Yahweh (read as Jesus)\nIf there is a translation in your area, you may wish to follow it’s decisions regarding speakers in this section. If not, you may wish to follow the ULT.\n\n### Mountains as Obstacles\n\nVerse 7 calls a “great mountain” to become “a plain,” representing political and practical obstacles dissolving so that Zerubbabel can set the capstone in place.
4:1	kn0c		rc://*/ta/man/translate/writing-newevent	וַ⁠יָּ֕שָׁב הַ⁠מַּלְאָ֖ךְ הַ⁠דֹּבֵ֣ר בִּ֑⁠י וַ⁠יְעִירֵ֕⁠נִי	1	Zechariah is using the word translated as **returned** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
4:1	qlp3		rc://*/ta/man/translate/figs-simile	כְּ⁠אִ֖ישׁ אֲשֶׁר־יֵע֥וֹר מִ⁠שְּׁנָתֽ⁠וֹ	1	The point of this comparison is that just as a man who is roused from his sleep is awakened suddenly, so the angel is rousing Zechariah to pay attention. If it would be helpful in your language, you could make this point explicitly. Alternate translation: [as when a man is suddenly awakened from sleep]
4:1	q632		rc://*/ta/man/translate/figs-activepassive	אֲשֶׁר־יֵע֥וֹר מִ⁠שְּׁנָתֽ⁠וֹ	1	The expression **is roused from his sleep** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: [who wakes from sleep]
4:2	jrqz		rc://*/ta/man/translate/figs-possession	וְ⁠גֻלָּ֣הּ עַל־רֹאשָׁ֗⁠הּ	1	The angel is using the possessive form to describe a **bowl** that belongs to the lampstand. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [and the bowl on top of it]
4:2	a1io		rc://*/ta/man/translate/figs-metaphor	וְ⁠הִנֵּ֣ה	1	Zechariah is using the term **behold** to focus his listeners’ attention on what he is about to say. Your language may have a comparable expression that you can use in your translation. Alternate translation: [and amazingly]
4:2	n6ai		rc://*/ta/man/translate/translate-numbers	וְ⁠שִׁבְעָ֤ה נֵרֹתֶ֨י⁠הָ֙ עָלֶ֔י⁠הָ שִׁבְעָ֤ה וְ⁠שִׁבְעָה֙ מֽוּצָק֔וֹת	1	Translate this number according to the conventions of your own language and culture. Alternate translation: [and seven lamps on it, fourteen tubes]
4:3	ighq		rc://*/ta/man/translate/writing-pronouns	עָלֶ֑י⁠הָ		The pronoun **it** refers to the bowl. It may be helpful to clarify this for your readers. Alternate translation: [are beside the bowl]
4:4	ia8g		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹ֑ר	1	The term **saying** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
4:5	rx4d		rc://*/ta/man/translate/writing-quotations	וַ⁠יֹּ֣אמֶר	1	The term **and said** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
4:5	uima		rc://*/ta/man/translate/figs-rquestion	הֲ⁠ל֥וֹא יָדַ֖עְתָּ מָה־הֵ֣מָּה אֵ֑לֶּה		The angel is using the question form to express that Zechariah should already know what the items mean. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [You should know what these are.]
4:5	l9to		rc://*/ta/man/translate/writing-pronouns	הֵ֣מָּה אֵ֑לֶּה		The pronoun **these** refers to the lampstand and the two olive trees. It may be helpful to clarify this for your readers. Alternate translation: [the lampstand and olive trees are]
4:6	vpl4		rc://*/ta/man/translate/figs-possession	דְּבַר־יְהוָ֔ה	1	The angel is using the possessive form to describe a **word** that comes from Yahweh. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [the word from Yahweh]
4:6	tez9		rc://*/ta/man/translate/figs-ellipsis	לֹ֤א בְ⁠חַ֨יִל֙ וְ⁠לֹ֣א בְ⁠כֹ֔חַ כִּ֣י אִם־בְּ⁠רוּחִ֔⁠י	1	The angel is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [You will not accomplish this by your own might or power, but my Spirit will accomplish it]
4:6	jq2a		rc://*/ta/man/translate/figs-quotesinquotes	אֵלַ⁠י֙ לֵ⁠אמֹ֔ר זֶ֚ה דְּבַר־יְהוָ֔ה אֶל־זְרֻבָּבֶ֖ל לֵ⁠אמֹ֑ר לֹ֤א	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [to me that this is the message from Yahweh to Zerubbabel: “Not]
4:6	jbwc		rc://*/ta/man/translate/figs-abstractnouns	לֹ֤א בְ⁠חַ֨יִל֙ וְ⁠לֹ֣א בְ⁠כֹ֔חַ	1	If your language does not use abstract nouns for the ideas of **might** and **power,** you could express the same ideas in other ways. Alternate translation: [Not by strength and not by force]
4:6	udtf		rc://*/ta/man/translate/figs-doublet	לֹ֤א בְ⁠חַ֨יִל֙ וְ⁠לֹ֣א בְ⁠כֹ֔חַ	1	The terms **might** and **power** mean similar things. The angel is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [Not by your own strength]
4:7	pfwz		rc://*/ta/man/translate/writing-pronouns	וְ⁠הוֹצִיא֙	1	The pronoun **he** refers to Zerubbabel. It may be helpful to clarify this for your readers. Alternate translation: [And Zerubbabel will bring out]
4:7	da8h		rc://*/ta/man/translate/figs-exclamations	חֵ֥ן חֵ֖ן לָֽ⁠הּ		The angel is using a phrase that expresses a strong feeling, joy. There may be an equivalent word or phrase in your language that you can use in your translation to convey this feeling. If not, you could say what the angel was feeling, or you could say what caused him to feel joyful. Alternate translation: [What joy! Let joy be upon it!]
4:7	y9ga		rc://*/ta/man/translate/figs-abstractnouns	חֵ֥ן חֵ֖ן	1	If your language does not use an abstract noun for the idea of **grace,** you could express the same idea in another way. Alternate translation: [Blessed! Blessed!]
4:7	r25o		rc://*/ta/man/translate/figs-doublet	חֵ֥ן	1	The angel is repeating forms **grace** in order to intensify his expression of the idea that it conveys. If your language can repeat words for intensification, it would be appropriate to do that here in your translation. If not, your language may have another way of expressing the intensification. Alternate translation: [How favored indeed!]
4:7	vfwa		rc://*/ta/man/translate/figs-synecdoche	לָֽ⁠הּ		The pronoun **it** refers to the top stone or the temple. The angel is using the top stone to represent the completed temple. It may be helpful to clarify this for your readers. Alternate translation: [to the top stone] or [to the temple]
4:7	qs31		rc://*/ta/man/translate/figs-rquestion	מִֽי־אַתָּ֧ה הַֽר־הַ⁠גָּד֛וֹל לִ⁠פְנֵ֥י זְרֻבָּבֶ֖ל	1	The angel is using the question form to emphasize that the mountain obstacle will be removed. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [You are nothing, great mountain, before Zerubbabel]
4:7	ako3		rc://*/ta/man/translate/figs-quotesinquotes	תְּשֻׁא֕וֹת חֵ֥ן חֵ֖ן לָֽ⁠הּ		If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [while people call out blessings on it]
4:7	glle		rc://*/ta/man/translate/figs-metaphor	מִֽי־אַתָּ֧ה הַֽר־הַ⁠גָּד֛וֹל לִ⁠פְנֵ֥י זְרֻבָּבֶ֖ל לְ⁠מִישֹׁ֑ר	1	Here the angel is speaking as if the great mountain were a person standing in the way. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [What are you, great obstacle, before Zerubbabel? You will no longer block him!]
4:7	ldqt		rc://*/ta/man/translate/figs-apostrophe	מִֽי־אַתָּ֧ה הַֽר־הַ⁠גָּד֛וֹל לִ⁠פְנֵ֥י זְרֻבָּבֶ֖ל לְ⁠מִישֹׁ֑ר	1	The angel is speaking to the great mountain that he knows cannot hear him. He is doing this to communicate to the people listening to him that he feels very strongly about how the obstacles before Zerubbabel will be removed. If it would be helpful in your language, you could translate these words as if the angel were speaking directly to the people about the mountain. Alternate translation: [Now about this great mountain in front of Zerubbabel, it will become a plain.]
4:8	ccxv		rc://*/ta/man/translate/figs-possession	דְבַר־יְהוָ֖ה	1	See how you translated the similar expression in [4:6](../04/06.md). Alternate translation: [the word from Yahweh]
4:8	hhp1		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹֽר	1	The term “saying” introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
4:9	mz1u		rc://*/ta/man/translate/figs-metonymy	יְדֵ֣י זְרֻבָּבֶ֗ל יִסְּד֛וּ הַ⁠בַּ֥יִת הַ⁠זֶּ֖ה וְ⁠יָדָ֣י⁠ו תְּבַצַּ֑עְנָה	1	Here, **hands** represents the work and effort of a person. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [Zerubbabel’s work has founded this house, and his work will complete it.]
4:9	qwbr		rc://*/ta/man/translate/writing-pronouns	וְ⁠יָ֣דַעְתָּ֔	1	The pronoun **you** refers to Zerubbabel. It may be helpful to clarify this for your readers. Alternate translation: [And you, Zerubbabel, will know]
4:9	r1ee		rc://*/ta/man/translate/figs-yousingular	אֲלֵי⁠כֶֽם	1	The word **you** is plural here because Yahweh is addressing the people, so use the plural form in your translation if your language marks that distinction.
4:9	a50t		rc://*/ta/man/translate/writing-pronouns	שְׁלָחַ֥⁠נִי אֲלֵי⁠כֶֽם	1	The pronoun **me** could refer to 1) the angel speaking to Zechariah. It may be helpful to clarify this for your readers. Alternate translation: [has sent his angelic messenger to you] 2) to Zechariah. Alternate translation: [has sent me, Zechariah, to you]
4:10	s4lw		rc://*/ta/man/translate/figs-possession	לְ⁠י֣וֹם קְטַנּוֹת֒	1	Yahweh is using the possessive form to describe a **day** that is characterized by small things. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [the day when small things happen]
4:10	hhfv		rc://*/ta/man/translate/figs-rquestion	מִ֣י בַז֮ לְ⁠י֣וֹם קְטַנּוֹת֒	1	Yahweh is using the question form to emphasize that no one should despise small beginnings. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [no one should despise the day of small things!]
4:10	slwq		rc://*/ta/man/translate/writing-pronouns	וְ⁠שָׂמְח֗וּ וְ⁠רָא֞וּ	1	The pronoun **they** refers to the people. It may be helpful to clarify this for your readers. Alternate translation: [And the people will be glad and will see]
4:10	p47e		rc://*/ta/man/translate/figs-explicit	הָאֶ֧בֶן הַבְּדִ֛יל	1	A **stone of tin** refers to a metal or stone weight tied to a line and hung down from the top of a wall to make sure it is perfectly straight up and down. The common term for this is “plumb line” as in the UST. If your readers would not be familiar with what a plumb line is, you could use the name of a similar thing that your readers would recognize, or you could use a more general term. Alternate translation: [a measuring string] or [a device that proves that the building was constructed properly]
4:10	iegl		rc://*/ta/man/translate/writing-pronouns	שִׁבְעָה־אֵ֑לֶּה	1	The pronoun **These** refers to the seven lamps. It may be helpful to clarify this for your readers. Alternate translation: [These seven lamps]
4:10	fwoa		rc://*/ta/man/translate/figs-metonymy	עֵינֵ֣י יְהוָ֔ה	1	Here, **eyes** represents the awareness and watchfulness of a person. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [Yahweh’s watchfulness]
4:10	fgom		rc://*/ta/man/translate/figs-personification	הֵ֥מָּה מְשׁוֹטְטִ֖ים בְּ⁠כָל־הָ⁠אָֽרֶץ	1	Yahweh is speaking of the eyes as if they were living things that could roam. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [they look throughout all the earth]
4:10	y4rs	ISSUE:MATCH_FAIL	rc://*/ta/man/translate/grammar-connect-logic-result	כִּ֣י מִ֣י בַז֮ לְ⁠י֣וֹם קְטַנּוֹת֒ וְ⁠שָׂמְח֗וּ	1	The word translated as **For** indicates that what follows is a reason for what came before. Use a connector in your language that makes it clear that what follows is a reason for what came before. Alternate translation: [Indeed, who would despise the day of small beginnings? It is certain that people will rejoice]
4:11	ywyz		rc://*/ta/man/translate/writing-quotations	וָ⁠אַ֖עַן וָ⁠אֹמַ֣ר אֵלָ֑י⁠ו	1	The term **and said** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
4:12	umaf		rc://*/ta/man/translate/translate-ordinal	שֵׁנִ֔ית	1	If your language would not represent a number in a form such as “second,” you could represent this number in a form that your language would use. Alternate translation: [again]
4:12	wya7		rc://*/ta/man/translate/writing-pronouns	הַֽ⁠מְרִיקִ֥ים מֵ⁠עֲלֵי⁠הֶ֖ם הַ⁠זָּהָֽב		The pronoun **them** refers to the two olive branches. It may be helpful to clarify this for your readers. Alternate translation: [that are emptying the gold from upon the two branches]
